Id,Category
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,1
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,1
91,1
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,1
100,0
101,0
102,1
103,0
104,1
105,1
106,1
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,0
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,1
229,0
230,1
231,1
232,1
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,1
263,0
264,0
265,0
266,1
267,0
268,1
269,1
270,0
271,1
272,1
273,0
274,0
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,1
285,1
286,0
287,1
288,1
289,0
290,1
291,0
292,0
293,0
294,1
295,0
296,0
297,1
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,1
310,1
311,1
312,1
313,0
314,0
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,0
323,1
324,1
325,1
326,1
327,0
328,1
329,0
330,0
331,0
332,0
333,1
334,0
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,1
350,0
351,0
352,1
353,0
354,1
355,1
356,1
357,1
358,0
359,0
360,1
361,1
362,0
363,1
364,1
365,0
366,0
367,1
368,1
369,0
370,0
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,0
381,0
382,1
383,0
384,1
385,1
386,0
387,1
388,1
389,0
390,1
391,0
392,1
393,0
394,0
395,0
396,0
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,1
405,1
406,0
407,1
408,0
409,0
410,0
411,1
412,0
413,1
414,1
415,0
416,0
417,0
418,0
419,1
